Desarrollo Humano,Desarrollo economico,Ambiente e infraestructura,Seguridad ,Gestión y transparencia
Educación para todos,Empleabilidad y capacitación en tecnología,Conservación de la biodiversidad,Barrios seguros,Gestión de recursos públicos
Educación de calidad para la reconstrucción social,"Subprograma ""Tocancipá Emprendedora""",Monitoreo de indicadores ambientales,Ciudadanía participativa en seguridad,Alianza con auditorías externas
Educación para la vida,Tocancipá con tecnología hacia el progreso,Incentivo verde para empresas,Apoyo psicosocial,Subcomisión de Transparencia
Fomento del desarrollo cultural,Innovación con enfoque rural,Crecimiento ordenado,Refuerzos comisaría de familia,x
Preservación del patrimonio histórico y cultural,Campo productivo y comercialización,Enfoque en los páramos,Movilidad segura,x
Deporte accesible e inclusivo,Seguridad alimentaria,Ecosistemas protegidos,Seguridad comunal,x
Familias para el bienestar,Competitividad y precios bajos del sector agropecuario,Impulso a proyectos verdes,x,x
Autoridad sanitaria,Centro de intermediación laboral,Consumo eficiente de agua,x,x
Servicios de salud con enfoque de familia,Categorización de los emprendimientos,Control a la actividad minera,x,x
Ambiente saludable,Articulación de empleos y empresas de emprendimientos,Obras sociales ambientales,x,x
Salud pública,Zona turística de Tocancipá,Monitoreo verde empresarial,x,x
Garantías de derechos,x,Obreros para dignificar,x,x
Con niños y jóvenes participativos,x,Desarrollo sostenible de sectores productivos,x,x
Garantía de personas en condición de discapacidad,,Incentivos de conservación,x,x
